route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
074,OP1,074,,3,https://muoversiaroma.it/it/linea?numero=074,,
557,OP1,557,,3,https://muoversiaroma.it/it/linea?numero=557,,
763L,OP1,763L,,3,https://muoversiaroma.it/it/linea?numero=763L,,
767,OP1,767,,3,https://muoversiaroma.it/it/linea?numero=767,,
882,OP1,882,,3,https://muoversiaroma.it/it/linea?numero=882,,
96,OP1,96,,3,https://muoversiaroma.it/it/linea?numero=96,,
7,OP1,7,,3,https://muoversiaroma.it/it/linea?numero=7,,
MC9,OP1,MC9,,3,https://muoversiaroma.it/it/linea?numero=MC9,,
MEA,OP1,MEA,,1,https://muoversiaroma.it/it/linea?numero=MEA,E27439,
MEB,OP1,MEB,,1,https://muoversiaroma.it/it/linea?numero=MEB,0570B5,
MEB1,OP1,MEB1,,1,https://muoversiaroma.it/it/linea?numero=MEB1,0570B5,
MEC,OP1,MEC,,1,https://muoversiaroma.it/it/linea?numero=MEC,008456,
048,OP265,048,,3,https://muoversiaroma.it/it/linea?numero=048,,
049,OP265,049,,3,https://muoversiaroma.it/it/linea?numero=049,,
051,OP265,051,,3,https://muoversiaroma.it/it/linea?numero=051,,
053,OP265,053,,3,https://muoversiaroma.it/it/linea?numero=053,,
054,OP265,054,,3,https://muoversiaroma.it/it/linea?numero=054,,
055,OP265,055,,3,https://muoversiaroma.it/it/linea?numero=055,,
056,OP265,056,,3,https://muoversiaroma.it/it/linea?numero=056,,
057,OP265,057,,3,https://muoversiaroma.it/it/linea?numero=057,,
059,OP265,059,,3,https://muoversiaroma.it/it/linea?numero=059,,
135,OP265,135,,3,https://muoversiaroma.it/it/linea?numero=135,,
213,OP265,213,,3,https://muoversiaroma.it/it/linea?numero=213,,
314,OP265,314,,3,https://muoversiaroma.it/it/linea?numero=314,,
340,OP265,340,,3,https://muoversiaroma.it/it/linea?numero=340,,
343,OP265,343,,3,https://muoversiaroma.it/it/linea?numero=343,,
404,OP265,404,,3,https://muoversiaroma.it/it/linea?numero=404,,
437,OP265,437,,3,https://muoversiaroma.it/it/linea?numero=437,,
447,OP265,447,,3,https://muoversiaroma.it/it/linea?numero=447,,
543,OP265,543,,3,https://muoversiaroma.it/it/linea?numero=543,,
548,OP265,548,,3,https://muoversiaroma.it/it/linea?numero=548,,
552,OP265,552,,3,https://muoversiaroma.it/it/linea?numero=552,,
555,OP265,555,,3,https://muoversiaroma.it/it/linea?numero=555,,
702,OP265,702,,3,https://muoversiaroma.it/it/linea?numero=702,,
721,OP265,721,,3,https://muoversiaroma.it/it/linea?numero=721,,
764,OP265,764,,3,https://muoversiaroma.it/it/linea?numero=764,,
789,OP265,789,,3,https://muoversiaroma.it/it/linea?numero=789,,
789F,OP265,789F,,3,https://muoversiaroma.it/it/linea?numero=789F,,
036,TUS,036,STAZIONE LA STORTA - STAZIONE LA STORTA,3,https://muoversiaroma.it/it/linea?numero=036,,
081,TUS,081,SABBADINO- FIERA DI ROMA - SABBADINO- FIERA DI ROMA,3,https://muoversiaroma.it/it/linea?numero=081,,
037,BIS,037,FIESSE - STAZIONE PRIMA PORTA,3,https://muoversiaroma.it/it/linea?numero=037,,
998,BIS,998,PONDERANO - STAZIONE MONTE MARIO,3,https://muoversiaroma.it/it/linea?numero=998,,
985,BIS,985,EUGENIO FRATE - STAZIONE AURELIA,3,https://muoversiaroma.it/it/linea?numero=985,,
908,BIS,908,GRONDONA - GASPARRI,3,https://muoversiaroma.it/it/linea?numero=908,,
992,BIS,992,STAZIONE IPOGEO DEGLI OTTAVI - STAZIONE IPOGEO DEGLI OTTAVI,3,https://muoversiaroma.it/it/linea?numero=992,,
033,BIS,033,PIAZZA SAXA RUBRA - SANTA CORNELIA- BRENNA,3,https://muoversiaroma.it/it/linea?numero=033,,
013,BIS,013,MELLANO- REGGIOLO - MELLANO- REGGIOLO,3,https://muoversiaroma.it/it/linea?numero=013,,
778,BIS,778,BEATA VERGINE DEL CARMELO - AMERICA METRO B,3,https://muoversiaroma.it/it/linea?numero=778,,
030,TUS,030,STAZIONE LA STORTA - TRAGLIATELLA- CIVICO 225,3,https://muoversiaroma.it/it/linea?numero=030,,
226,BIS,226,GROTTAROSSA- ISTITUTO ASISIUM - PIAZZA MANCINI,3,https://muoversiaroma.it/it/linea?numero=226,,
078,BIS,078,TARANTELLI - CADUTI LIBERAZIONE,3,https://muoversiaroma.it/it/linea?numero=078,,
